ID,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
1,0.245626543,0,5.787043527,0,0.41187831,7.160841957,94.62528863,3.04979331,16,330,18.46204628,329.0795959,11.3553899,50
2,0.114644739,0,5.490793201,0,0.631283143,7.854478658,35.57773037,7.526047329,19,330,17.61547947,239.5147519,12.51555196,50
3,0.294412406,0,10.10525943,0,0.456995897,6.306179697,91.87271034,3.029354757,21,187,14.9478813,396.9,15.46029636,50
4,0.841672603,50,5.537671248,0,0.54868746,5.567551589,94.42848038,3.287419228,22,187,18.68741142,396.9,32.56057445,39.9675224
5,0.102183603,0,10.73087805,0,0.471101807,6.320371896,81.35852747,2.608677048,9,187,19.0033994,217.3486017,8.228272356,50
6,0.102185617,0,4.765163151,0,0.38,6.992902098,89.0437516,5.751678232,9,187,16.30847813,396.9,4.424574862,50
7,0.900374383,0,15.14557881,0,0.468942259,5.869368627,61.38564622,8.845586441,9,711,20.13758713,289.3485539,8.821287702,50
8,0.339908667,100,6.992680918,0,0.630775842,6.209770571,43.36102587,4.159132524,17,279,19.94055296,309.1447145,30.37019073,40.83772991
9,0.077044719,0,2.837052932,0,0.38,6.538457895,27.84532493,3.460407829,12,711,18.60760768,396.9,6.128838161,50
10,0.259518329,0,2.050107328,0,0.580260082,7.142133497,94.57660377,3.38174354,13,330,18.52579029,396.9,11.66778255,50
11,0.077606722,100,11.20113454,0,0.407671692,6.842796613,68.79624395,1.007877471,8,711,20.58128304,265.9327484,27.2144049,46.04267027
12,0.077391703,50,5.444923782,0,0.623013048,6.871807579,73.40491407,4.819043345,16,666,19.30856681,396.9,15.87813291,50
13,0.180929962,50,14.06461052,0,0.635718272,6.00161201,28.38461832,3.550481429,18,187,16.95503801,396.9,32.36973989,35.34233829
14,0.01362381,0,13.25512859,0,0.529366248,6.581343269,69.38053891,4.113075417,1,666,18.06517378,284.2228581,4.850407441,50
15,0.017079072,0,8.193586957,0,0.529639821,5.794625671,59.37051354,2.326276459,1,666,19.72506868,334.62253,13.55878325,46.38667443
16,0.068924399,12.5,13.25217698,0,0.453236476,6.89186827,33.22809834,2.739489421,12,330,14.02889397,396.9,36.68273835,35.25623233
17,0.040139381,80,13.54498398,0,0.388529992,7.105853749,79.78034794,2.703338611,6,187,16.45064269,214.9888942,8.363449924,50
18,0.197324993,0,15.42907533,0,0.753771149,6.687354498,58.6886795,5.533450007,9,666,20.00070287,396.9,30.59650865,41.9213517
19,0.045518844,0,5.954412685,0,0.446191429,6.042812589,9.320135259,2.74730404,23,330,21.15953073,396.9,14.27608515,49.48263225
20,0.024853307,0,1.687348777,1,0.738135536,6.15739101,44.82792484,9.405834245,5,187,20.74630723,396.9,21.33774681,43.91751268
21,0.7856676,25,0.392907483,0,0.446859995,7.564561347,86.26374037,4.118261917,16,279,20.46524529,368.9843077,35.12082096,44.17818664
22,0.103215983,0,13.26646035,0,0.613022847,6.054502689,7.737268961,1.754455706,18,330,18.7854365,396.9,21.28285227,48.60737321
23,0.146758609,0,7.6898647,0,0.413463141,7.034995917,99.78826652,3.113435732,17,711,16.2364125,396.9,11.53343565,50
24,0.024484921,0,3.602411145,1,0.612807402,6.537224119,7.324852711,2.396866931,18,187,18.06742855,301.0140927,23.04013399,48.95266113
25,0.070421317,0,8.71964605,0,0.510929517,6.066104486,85.28110667,1.108279447,1,666,14.11480809,396.9,11.05541212,50
26,0.154603285,0,7.452794972,0,0.512498061,5.358745681,67.89195015,7.387101731,19,666,21.36144339,396.9,19.37570791,42.89538598
27,0.034006884,0,8.193448877,0,0.62320278,6.448120266,80.30657015,4.718878999,22,711,16.70235183,285.5609431,7.759316298,50
28,0.212425832,12.5,6.930982361,0,0.493703036,6.363770607,6.280513657,4.334488711,8,711,17.32663933,379.1257013,16.73423806,50
29,0.065824286,0,11.93275155,0,0.38,7.56457427,86.55336673,3.606370375,3,666,20.82896192,396.9,33.56808777,47.90840051
30,0.095366063,0,3.684298522,1,0.641356668,5.697865113,75.69598286,1.663612122,5,187,14.94782069,173.6447002,13.74586658,49.79107989
31,0.065739985,0,7.329373971,0,0.412491929,7.906338014,81.55572102,2.606977307,23,330,15.88331423,396.9,31.69675353,50
32,1.249487943,0,5.071650935,0,0.611982074,6.565167371,89.97722947,5.057591528,8,711,19.08953696,257.9526859,38,34.86812798
33,0.133160958,0,10.89043055,1,0.666759585,6.564480455,18.85035327,1.962835252,19,711,19.64483691,374.5021542,16.16149581,48.6751002
34,0.038034824,0,4.781747379,0,0.504940734,5.884849506,26.19048174,0.936238846,18,711,18.34225825,396.9,23.77216346,44.01335064
